purchase_order_id,product_id,supplier_id,supplier_name,order_date,expected_delivery_date,order_quantity,unit_cost,total_cost,status
PO-001362,OFF-AR-10001662,SUP-OFF-04,Evergreen Office Goods,2014-12-26,2014-12-31,16,$1.69,$27.04,Closed
PO-002141,OFF-BI-10004094,SUP-OFF-04,Evergreen Office Goods,2014-12-26,2014-12-30,10,$1.00,$10.00,Closed
PO-002987,OFF-PA-10002005,SUP-OFF-02,Metro Stationery Co.,2014-12-26,2015-01-04,15,$4.27,$64.05,Closed
PO-002446,OFF-FA-10001883,SUP-OFF-04,Evergreen Office Goods,2014-12-27,2015-01-03,12,$4.17,$50.04,Closed
PO-003578,OFF-ST-10002743,SUP-OFF-01,Pinnacle Paper & Office,2014-12-27,2014-12-31,13,$88.85,"$1,155.05",Closed
PO-004706,TEC-PH-10004977,SUP-TEC-03,Apex Digital Wholesale,2014-12-27,2015-01-03,11,$118.59,"$1,304.49",Closed
PO-000035,FUR-BO-10001972,SUP-FUR-04,Cedar Contract Goods,2014-12-28,2015-01-14,10,$60.70,$607.00,Closed
PO-002828,OFF-PA-10000955,SUP-OFF-04,Evergreen Office Goods,2014-12-28,2015-01-03,14,$1.95,$27.30,Closed
PO-003863,TEC-AC-10001266,SUP-TEC-03,Apex Digital Wholesale,2014-12-28,2015-01-07,10,$13.11,$131.10,Closed
PO-001571,OFF-AR-10004078,SUP-OFF-03,Prime Workplace Essentials,2014-12-29,2015-01-02,12,$3.21,$38.52,Closed
PO-002303,OFF-EN-10001532,SUP-OFF-02,Metro Stationery Co.,2014-12-29,2015-01-07,14,$18.00,$252.00,Closed
PO-002652,OFF-LA-10004272,SUP-OFF-03,Prime Workplace Essentials,2014-12-30,2015-01-06,11,$1.28,$14.08,Closed
PO-000490,FUR-FU-10001095,SUP-FUR-02,Atlas Workspace Supply,2014-12-31,2015-01-14,18,$17.63,$317.34,Closed
PO-002052,OFF-BI-10003476,SUP-OFF-01,Pinnacle Paper & Office,2014-12-31,2015-01-08,10,$5.61,$56.10,Closed
PO-003340,OFF-ST-10000078,SUP-OFF-02,Metro Stationery Co.,2014-12-31,2015-01-06,15,$179.71,"$2,695.65",Closed
PO-000229,FUR-CH-10002331,SUP-FUR-02,Atlas Workspace Supply,2015-01-01,2015-01-14,11,$107.93,"$1,187.23",Closed
PO-000545,FUR-FU-10001847,SUP-FUR-02,Atlas Workspace Supply,2015-01-01,2015-01-19,11,$3.58,$39.38,Closed
PO-003327,OFF-ST-10000025,SUP-OFF-04,Evergreen Office Goods,2015-01-01,2015-01-07,10,$71.11,$711.10,Closed
PO-000600,FUR-FU-10002268,SUP-FUR-03,Summit Office Interiors,2015-01-02,2015-01-13,18,$2.60,$46.80,Closed
PO-000678,FUR-FU-10003194,SUP-FUR-01,Northwood Furnishings,2015-01-02,2015-01-13,18,$7.01,$126.18,Closed
PO-004030,TEC-AC-10003174,SUP-TEC-03,Apex Digital Wholesale,2015-01-02,2015-01-10,10,$91.50,$915.00,Closed
PO-004344,TEC-PH-10001061,SUP-TEC-01,Vertex Tech Distribution,2015-01-02,2015-01-14,10,$78.13,$781.30,Closed
PO-004672,TEC-PH-10004614,SUP-TEC-02,BlueCircuit Supply,2015-01-02,2015-01-09,10,$32.99,$329.90,Closed
PO-000654,FUR-FU-10002918,SUP-FUR-03,Summit Office Interiors,2015-01-03,2015-01-18,10,$62.39,$623.90,Closed
PO-001507,OFF-AR-10003514,SUP-OFF-04,Evergreen Office Goods,2015-01-03,2015-01-09,14,$4.89,$68.46,Closed
PO-002310,OFF-EN-10001990,SUP-OFF-04,Evergreen Office Goods,2015-01-03,2015-01-11,11,$2.93,$32.23,Closed
PO-001817,OFF-BI-10001575,SUP-OFF-02,Metro Stationery Co.,2015-01-04,2015-01-11,10,$3.31,$33.10,Closed
PO-002142,OFF-BI-10004094,SUP-OFF-04,Evergreen Office Goods,2015-01-04,2015-01-09,25,$1.00,$25.00,Closed
PO-002798,OFF-PA-10000659,SUP-OFF-02,Metro Stationery Co.,2015-01-04,2015-01-12,10,$10.95,$109.50,Closed
PO-004063,TEC-AC-10003628,SUP-TEC-02,BlueCircuit Supply,2015-01-04,2015-01-12,10,$26.37,$263.70,Closed
PO-001544,OFF-AR-10003811,SUP-OFF-02,Metro Stationery Co.,2015-01-05,2015-01-14,11,$1.36,$14.96,Closed
PO-003094,OFF-PA-10002947,SUP-OFF-01,Pinnacle Paper & Office,2015-01-05,2015-01-09,10,$3.97,$39.70,Closed
PO-002157,OFF-BI-10004187,SUP-OFF-03,Prime Workplace Essentials,2015-01-06,2015-01-10,13,$1.00,$13.00,Closed
PO-003596,OFF-ST-10003123,SUP-OFF-01,Pinnacle Paper & Office,2015-01-06,2015-01-14,12,$9.37,$112.44,Closed
PO-000098,FUR-BO-10004409,SUP-FUR-01,Northwood Furnishings,2015-01-07,2015-01-21,10,$31.86,$318.60,Closed
PO-000810,FUR-FU-10004587,SUP-FUR-03,Summit Office Interiors,2015-01-07,2015-01-22,13,$12.07,$156.91,Closed
PO-001035,OFF-AP-10000692,SUP-OFF-04,Evergreen Office Goods,2015-01-07,2015-01-12,17,$10.39,$176.63,Closed
PO-002009,OFF-BI-10003091,SUP-OFF-04,Evergreen Office Goods,2015-01-07,2015-01-16,10,$82.96,$829.60,Closed
PO-002079,OFF-BI-10003676,SUP-OFF-01,Pinnacle Paper & Office,2015-01-08,2015-01-15,14,$2.91,$40.74,Closed
PO-002321,OFF-EN-10002504,SUP-OFF-01,Pinnacle Paper & Office,2015-01-08,2015-01-15,12,$6.71,$80.52,Closed
PO-002541,OFF-LA-10001074,SUP-OFF-03,Prime Workplace Essentials,2015-01-08,2015-01-13,10,$15.15,$151.50,Closed
PO-004684,TEC-PH-10004833,SUP-TEC-03,Apex Digital Wholesale,2015-01-08,2015-01-21,13,$18.25,$237.25,Closed
PO-000950,FUR-TA-10003469,SUP-FUR-01,Northwood Furnishings,2015-01-09,2015-01-23,13,$47.46,$616.98,Closed
PO-001572,OFF-AR-10004078,SUP-OFF-03,Prime Workplace Essentials,2015-01-09,2015-01-13,13,$3.21,$41.73,Closed
PO-003400,OFF-ST-10000760,SUP-OFF-02,Metro Stationery Co.,2015-01-09,2015-01-16,15,$6.29,$94.35,Closed
PO-004448,TEC-PH-10002103,SUP-TEC-03,Apex Digital Wholesale,2015-01-09,2015-01-23,12,$119.28,"$1,431.36",Closed
PO-001117,OFF-AP-10002311,SUP-OFF-04,Evergreen Office Goods,2015-01-10,2015-01-18,12,$18.64,$223.68,Closed
PO-001431,OFF-AR-10002375,SUP-OFF-04,Evergreen Office Goods,2015-01-10,2015-01-14,19,$2.08,$39.52,Closed
PO-001699,OFF-BI-10000605,SUP-OFF-04,Evergreen Office Goods,2015-01-10,2015-01-18,15,$1.78,$26.70,Closed
PO-001859,OFF-BI-10001758,SUP-OFF-01,Pinnacle Paper & Office,2015-01-10,2015-01-19,13,$6.08,$79.04,Closed
PO-002187,OFF-BI-10004364,SUP-OFF-03,Prime Workplace Essentials,2015-01-10,2015-01-17,10,$1.34,$13.40,Closed
PO-002306,OFF-EN-10001539,SUP-OFF-04,Evergreen Office Goods,2015-01-11,2015-01-17,15,$2.65,$39.75,Closed
PO-002755,OFF-PA-10000380,SUP-OFF-04,Evergreen Office Goods,2015-01-12,2015-01-20,15,$7.38,$110.70,Closed
PO-002937,OFF-PA-10001804,SUP-OFF-02,Metro Stationery Co.,2015-01-12,2015-01-21,10,$4.18,$41.80,Closed
PO-003089,OFF-PA-10002893,SUP-OFF-02,Metro Stationery Co.,2015-01-12,2015-01-17,12,$3.88,$46.56,Closed
PO-003635,OFF-ST-10003692,SUP-OFF-02,Metro Stationery Co.,2015-01-12,2015-01-21,11,$17.62,$193.82,Closed
PO-003666,OFF-ST-10004337,SUP-OFF-04,Evergreen Office Goods,2015-01-12,2015-01-21,10,$30.84,$308.40,Closed
PO-001508,OFF-AR-10003514,SUP-OFF-04,Evergreen Office Goods,2015-01-13,2015-01-22,12,$4.89,$58.68,Closed
PO-001588,OFF-AR-10004456,SUP-OFF-01,Pinnacle Paper & Office,2015-01-13,2015-01-18,14,$20.82,$291.48,Closed
PO-001677,OFF-BI-10000343,SUP-OFF-03,Prime Workplace Essentials,2015-01-13,2015-01-22,11,$2.31,$25.41,Closed
PO-003875,TEC-AC-10001432,SUP-TEC-04,CoreLink Systems,2015-01-14,2015-01-25,21,$35.10,$737.10,Closed
PO-000085,FUR-BO-10003966,SUP-FUR-03,Summit Office Interiors,2015-01-16,2015-01-29,15,$84.75,"$1,271.25",Closed
PO-003425,OFF-ST-10000991,SUP-OFF-04,Evergreen Office Goods,2015-01-17,2015-01-25,13,$88.89,"$1,155.57",Closed
PO-000587,FUR-FU-10002111,SUP-FUR-01,Northwood Furnishings,2015-01-18,2015-02-05,14,$1.94,$27.16,Closed
PO-001976,OFF-BI-10002827,SUP-OFF-02,Metro Stationery Co.,2015-01-18,2015-01-27,15,$4.13,$61.95,Closed
PO-001474,OFF-AR-10003179,SUP-OFF-02,Metro Stationery Co.,2015-01-19,2015-01-24,19,$9.08,$172.52,Closed
PO-002322,OFF-EN-10002504,SUP-OFF-01,Pinnacle Paper & Office,2015-01-19,2015-01-28,18,$6.71,$120.78,Closed
PO-003117,OFF-PA-10003072,SUP-OFF-01,Pinnacle Paper & Office,2015-01-19,2015-01-24,13,$1.50,$19.50,Closed
PO-000959,FUR-TA-10003715,SUP-FUR-03,Summit Office Interiors,2015-01-20,2015-02-04,15,$172.50,"$2,587.50",Closed
PO-001118,OFF-AP-10002311,SUP-OFF-04,Evergreen Office Goods,2015-01-20,2015-01-29,15,$18.64,$279.60,Closed
PO-002749,OFF-PA-10000350,SUP-OFF-03,Prime Workplace Essentials,2015-01-20,2015-01-29,12,$5.00,$60.00,Closed
PO-003090,OFF-PA-10002893,SUP-OFF-02,Metro Stationery Co.,2015-01-20,2015-01-26,24,$3.88,$93.12,Closed
PO-003830,TEC-AC-10000710,SUP-TEC-04,CoreLink Systems,2015-01-21,2015-02-04,10,$26.46,$264.60,Closed
PO-004539,TEC-PH-10002890,SUP-TEC-02,BlueCircuit Supply,2015-01-21,2015-01-31,12,$34.12,$409.44,Closed
PO-002854,OFF-PA-10001204,SUP-OFF-02,Metro Stationery Co.,2015-01-22,2015-01-26,10,$1.81,$18.10,Closed
PO-004597,TEC-PH-10003645,SUP-TEC-03,Apex Digital Wholesale,2015-01-22,2015-02-01,10,$163.67,"$1,636.70",Closed
PO-002168,OFF-BI-10004230,SUP-OFF-04,Evergreen Office Goods,2015-01-23,2015-02-01,13,$12.49,$162.37,Closed
PO-000119,FUR-CH-10000225,SUP-FUR-01,Northwood Furnishings,2015-01-24,2015-02-08,10,$78.81,$788.10,Closed
PO-000603,FUR-FU-10002298,SUP-FUR-02,Atlas Workspace Supply,2015-01-24,2015-02-07,10,$123.20,"$1,232.00",Closed
PO-002599,OFF-LA-10002787,SUP-OFF-02,Metro Stationery Co.,2015-01-24,2015-01-31,10,$1.59,$15.90,Closed
PO-001706,OFF-BI-10000666,SUP-OFF-03,Prime Workplace Essentials,2015-01-25,2015-01-31,18,$16.25,$292.50,Closed
PO-002213,OFF-BI-10004593,SUP-OFF-02,Metro Stationery Co.,2015-01-25,2015-01-30,13,$23.68,$307.84,Closed
PO-002444,OFF-FA-10001843,SUP-OFF-01,Pinnacle Paper & Office,2015-01-25,2015-01-31,15,$4.62,$69.30,Closed
PO-003492,OFF-ST-10001558,SUP-OFF-04,Evergreen Office Goods,2015-01-25,2015-02-01,10,$5.92,$59.20,Closed
PO-004403,TEC-PH-10001615,SUP-TEC-04,CoreLink Systems,2015-01-25,2015-02-04,10,$27.59,$275.90,Closed
PO-000162,FUR-CH-10001146,SUP-FUR-03,Summit Office Interiors,2015-01-27,2015-02-08,10,$42.71,$427.10,Closed
PO-000951,FUR-TA-10003469,SUP-FUR-01,Northwood Furnishings,2015-01-27,2015-02-12,23,$47.46,"$1,091.58",Closed - Split Delivery
PO-002679,OFF-LA-10004853,SUP-OFF-04,Evergreen Office Goods,2015-01-27,2015-02-04,11,$2.89,$31.79,Closed
PO-001678,OFF-BI-10000343,SUP-OFF-03,Prime Workplace Essentials,2015-01-28,2015-02-05,18,$2.31,$41.58,Closed
PO-002762,OFF-PA-10000466,SUP-OFF-03,Prime Workplace Essentials,2015-01-30,2015-02-07,15,$3.05,$45.75,Closed
PO-003832,TEC-AC-10000736,SUP-TEC-04,CoreLink Systems,2015-01-30,2015-02-09,15,$46.81,$702.15,Closed
PO-001774,OFF-BI-10001196,SUP-OFF-04,Evergreen Office Goods,2015-01-31,2015-02-04,10,$6.49,$64.90,Closed
PO-002232,OFF-BI-10004728,SUP-OFF-02,Metro Stationery Co.,2015-01-31,2015-02-05,16,$3.16,$50.56,Closed
PO-000413,FUR-FU-10000221,SUP-FUR-02,Atlas Workspace Supply,2015-02-01,2015-02-18,16,$3.66,$58.56,Closed
PO-002223,OFF-BI-10004654,SUP-OFF-02,Metro Stationery Co.,2015-02-01,2015-02-05,11,$2.44,$26.84,Closed
PO-001070,OFF-AP-10001293,SUP-OFF-02,Metro Stationery Co.,2015-02-03,2015-02-07,16,$29.16,$466.56,Closed
PO-001885,OFF-BI-10002012,SUP-OFF-03,Prime Workplace Essentials,2015-02-03,2015-02-10,10,$1.00,$10.00,Closed
PO-000609,FUR-FU-10002396,SUP-FUR-01,Northwood Furnishings,2015-02-04,2015-02-16,12,$3.82,$45.84,Closed
PO-001073,OFF-AP-10001303,SUP-OFF-02,Metro Stationery Co.,2015-02-04,2015-02-13,18,$6.49,$116.82,Closed
PO-001738,OFF-BI-10001031,SUP-OFF-03,Prime Workplace Essentials,2015-02-04,2015-02-09,10,$3.13,$31.30,Closed
PO-002025,OFF-BI-10003291,SUP-OFF-04,Evergreen Office Goods,2015-02-04,2015-02-09,16,$2.85,$45.60,Closed
PO-003149,OFF-PA-10003363,SUP-OFF-03,Prime Workplace Essentials,2015-02-04,2015-02-13,15,$2.78,$41.70,Closed
PO-003572,OFF-ST-10002583,SUP-OFF-03,Prime Workplace Essentials,2015-02-04,2015-02-08,10,$12.74,$127.40,Closed
PO-003350,OFF-ST-10000321,SUP-OFF-01,Pinnacle Paper & Office,2015-02-05,2015-02-11,11,$2.12,$23.32,Closed
PO-003700,OFF-SU-10000157,SUP-OFF-01,Pinnacle Paper & Office,2015-02-05,2015-02-12,11,$118.96,"$1,308.56",Closed
PO-000156,FUR-CH-10000863,SUP-FUR-03,Summit Office Interiors,2015-02-07,2015-02-24,10,$43.27,$432.70,Closed
PO-000901,FUR-TA-10001866,SUP-FUR-02,Atlas Workspace Supply,2015-02-08,2015-02-24,15,$24.87,$373.05,Closed
PO-002932,OFF-PA-10001800,SUP-OFF-02,Metro Stationery Co.,2015-02-09,2015-02-16,10,$3.69,$36.90,Closed
PO-003868,TEC-AC-10001284,SUP-TEC-04,CoreLink Systems,2015-02-09,2015-02-16,10,$24.26,$242.60,Closed
PO-001518,OFF-AR-10003631,SUP-OFF-04,Evergreen Office Goods,2015-02-10,2015-02-14,13,$6.22,$80.86,Closed
PO-000351,FUR-CH-10004495,SUP-FUR-01,Northwood Furnishings,2015-02-11,2015-03-01,13,$136.11,"$1,769.43",Closed
PO-004599,TEC-PH-10003655,SUP-TEC-02,BlueCircuit Supply,2015-02-11,2015-02-25,13,$1.19,$15.47,Closed
PO-000939,FUR-TA-10002958,SUP-FUR-04,Cedar Contract Goods,2015-02-12,2015-02-26,14,$166.18,"$2,326.52",Closed
PO-000174,FUR-CH-10001270,SUP-FUR-04,Cedar Contract Goods,2015-02-14,2015-02-27,10,$151.01,"$1,510.10",Closed
PO-002693,OFF-PA-10000069,SUP-OFF-02,Metro Stationery Co.,2015-02-14,2015-02-21,18,$7.44,$133.92,Closed
PO-004678,TEC-PH-10004700,SUP-TEC-02,BlueCircuit Supply,2015-02-14,2015-02-27,15,$8.28,$124.20,Closed
PO-002658,OFF-LA-10004425,SUP-OFF-01,Pinnacle Paper & Office,2015-02-15,2015-02-21,10,$1.50,$15.00,Closed
PO-001673,OFF-BI-10000320,SUP-OFF-03,Prime Workplace Essentials,2015-02-16,2015-02-20,13,$2.38,$30.94,Closed
PO-002494,OFF-FA-10004395,SUP-OFF-02,Metro Stationery Co.,2015-02-17,2015-02-22,10,$4.12,$41.20,Closed
PO-003923,TEC-AC-10002001,SUP-TEC-02,BlueCircuit Supply,2015-02-17,2015-02-28,11,$111.86,"$1,230.46",Closed
PO-000259,FUR-CH-10002780,SUP-FUR-02,Atlas Workspace Supply,2015-02-18,2015-03-01,10,$57.54,$575.40,Closed
PO-002792,OFF-PA-10000587,SUP-OFF-03,Prime Workplace Essentials,2015-02-18,2015-02-25,15,$1.70,$25.50,Closed
PO-003457,OFF-ST-10001370,SUP-OFF-03,Prime Workplace Essentials,2015-02-18,2015-02-26,15,$50.38,$755.70,Closed
PO-003557,OFF-ST-10002486,SUP-OFF-02,Metro Stationery Co.,2015-02-18,2015-02-25,14,$4.20,$58.80,Closed
PO-001341,OFF-AR-10001427,SUP-OFF-02,Metro Stationery Co.,2015-02-20,2015-03-01,11,$1.62,$17.82,Closed
PO-001510,OFF-AR-10003560,SUP-OFF-04,Evergreen Office Goods,2015-02-20,2015-02-24,12,$4.83,$57.96,Closed
PO-002045,OFF-BI-10003429,SUP-OFF-03,Prime Workplace Essentials,2015-02-20,2015-02-24,16,$3.56,$56.96,Closed
PO-002520,OFF-LA-10000305,SUP-OFF-03,Prime Workplace Essentials,2015-02-20,2015-03-01,11,$7.80,$85.80,Closed
PO-000348,FUR-CH-10004477,SUP-FUR-01,Northwood Furnishings,2015-02-21,2015-03-04,10,$37.86,$378.60,Closed
PO-001274,OFF-AR-10000588,SUP-OFF-02,Metro Stationery Co.,2015-02-21,2015-03-01,17,$7.23,$122.91,Closed
PO-001824,OFF-BI-10001617,SUP-OFF-03,Prime Workplace Essentials,2015-02-21,2015-02-28,20,$2.08,$41.60,Closed
PO-002165,OFF-BI-10004224,SUP-OFF-03,Prime Workplace Essentials,2015-02-21,2015-03-01,14,$15.75,$220.50,Closed
PO-004143,TEC-AC-10004877,SUP-TEC-04,CoreLink Systems,2015-02-21,2015-03-07,11,$6.53,$71.83,Closed
PO-004339,TEC-PH-10000984,SUP-TEC-02,BlueCircuit Supply,2015-02-21,2015-03-07,14,$266.78,"$3,734.92",Closed
PO-001139,OFF-AP-10002534,SUP-OFF-04,Evergreen Office Goods,2015-02-22,2015-02-26,19,$85.80,"$1,630.20",Closed
PO-001337,OFF-AR-10001374,SUP-OFF-03,Prime Workplace Essentials,2015-02-22,2015-02-28,12,$6.63,$79.56,Closed
PO-002954,OFF-PA-10001878,SUP-OFF-02,Metro Stationery Co.,2015-02-22,2015-03-01,10,$27.48,$274.80,Closed
PO-000980,FUR-TA-10004175,SUP-FUR-04,Cedar Contract Goods,2015-02-23,2015-03-10,16,$160.13,"$2,562.08",Closed
PO-003111,OFF-PA-10003036,SUP-OFF-04,Evergreen Office Goods,2015-02-23,2015-02-27,10,$1.56,$15.60,Closed
PO-003464,OFF-ST-10001469,SUP-OFF-03,Prime Workplace Essentials,2015-02-23,2015-02-27,10,$36.77,$367.70,Closed
PO-000542,FUR-FU-10001756,SUP-FUR-04,Cedar Contract Goods,2015-02-24,2015-03-10,10,$8.74,$87.40,Closed
PO-000811,FUR-FU-10004597,SUP-FUR-02,Atlas Workspace Supply,2015-02-24,2015-03-12,15,$11.68,$175.20,Closed
PO-001141,OFF-AP-10002578,SUP-OFF-04,Evergreen Office Goods,2015-02-24,2015-03-04,10,$19.49,$194.90,Closed
PO-001263,OFF-AR-10000390,SUP-OFF-03,Prime Workplace Essentials,2015-02-24,2015-03-05,11,$1.70,$18.70,Closed
PO-001311,OFF-AR-10001044,SUP-OFF-03,Prime Workplace Essentials,2015-02-24,2015-03-04,10,$16.55,$165.50,Closed
PO-002712,OFF-PA-10000174,SUP-OFF-01,Pinnacle Paper & Office,2015-02-24,2015-03-04,12,$2.12,$25.44,Closed
PO-002998,OFF-PA-10002137,SUP-OFF-04,Evergreen Office Goods,2015-02-24,2015-03-05,10,$5.63,$56.30,Closed
PO-003419,OFF-ST-10000934,SUP-OFF-03,Prime Workplace Essentials,2015-02-24,2015-03-02,10,$26.40,$264.00,Closed
PO-000908,FUR-TA-10001950,SUP-FUR-03,Summit Office Interiors,2015-02-25,2015-03-14,14,$212.43,"$2,974.02",Closed
PO-003702,OFF-SU-10000381,SUP-OFF-03,Prime Workplace Essentials,2015-02-25,2015-03-02,11,$5.14,$56.54,Closed
PO-000091,FUR-BO-10004218,SUP-FUR-04,Cedar Contract Goods,2015-02-26,2015-03-12,16,$103.92,"$1,662.72",Closed
PO-000759,FUR-FU-10003981,SUP-FUR-03,Summit Office Interiors,2015-02-27,2015-03-09,19,$1.00,$19.00,Closed
PO-002439,OFF-FA-10001561,SUP-OFF-02,Metro Stationery Co.,2015-02-27,2015-03-08,12,$1.13,$13.56,Closed
PO-002714,OFF-PA-10000176,SUP-OFF-03,Prime Workplace Essentials,2015-02-27,2015-03-08,11,$5.78,$63.58,Closed
PO-002718,OFF-PA-10000213,SUP-OFF-01,Pinnacle Paper & Office,2015-02-27,2015-03-07,16,$4.85,$77.60,Closed
PO-001374,OFF-AR-10001770,SUP-OFF-02,Metro Stationery Co.,2015-02-28,2015-03-04,11,$1.57,$17.27,Closed
PO-003027,OFF-PA-10002259,SUP-OFF-02,Metro Stationery Co.,2015-02-28,2015-03-04,11,$2.92,$32.12,Closed
PO-003542,OFF-ST-10002344,SUP-OFF-04,Evergreen Office Goods,2015-02-28,2015-03-05,16,$28.00,$448.00,Closed
PO-004207,TEC-MA-10001148,SUP-TEC-02,BlueCircuit Supply,2015-02-28,2015-03-12,10,$285.48,"$2,854.80",Closed
PO-000157,FUR-CH-10000863,SUP-FUR-03,Summit Office Interiors,2015-03-01,2015-03-20,25,$43.27,"$1,081.75",Closed
PO-000288,FUR-CH-10003379,SUP-FUR-01,Northwood Furnishings,2015-03-01,2015-03-11,10,$169.47,"$1,694.70",Closed
PO-003636,OFF-ST-10003692,SUP-OFF-02,Metro Stationery Co.,2015-03-01,2015-03-13,12,$17.62,$211.44,Closed
PO-004600,TEC-PH-10003655,SUP-TEC-02,BlueCircuit Supply,2015-03-01,2015-03-16,17,$1.19,$20.23,Closed
PO-000576,FUR-FU-10001986,SUP-FUR-02,Atlas Workspace Supply,2015-03-02,2015-03-12,15,$43.98,$659.70,Closed
PO-000643,FUR-FU-10002813,SUP-FUR-02,Atlas Workspace Supply,2015-03-02,2015-03-17,12,$10.78,$129.36,Closed
PO-000952,FUR-TA-10003473,SUP-FUR-04,Cedar Contract Goods,2015-03-02,2015-03-13,14,$137.31,"$1,922.34",Closed
PO-001640,OFF-BI-10000136,SUP-OFF-02,Metro Stationery Co.,2015-03-02,2015-03-11,10,$9.91,$99.10,Closed
PO-001713,OFF-BI-10000773,SUP-OFF-03,Prime Workplace Essentials,2015-03-02,2015-03-08,10,$1.62,$16.20,Closed
PO-002311,OFF-EN-10001990,SUP-OFF-04,Evergreen Office Goods,2015-03-02,2015-03-09,16,$2.93,$46.88,Closed
PO-003005,OFF-PA-10002195,SUP-OFF-04,Evergreen Office Goods,2015-03-02,2015-03-10,18,$2.37,$42.66,Closed
PO-004254,TEC-MA-10003626,SUP-TEC-01,Vertex Tech Distribution,2015-03-02,2015-03-09,10,$230.28,"$2,302.80",Closed
PO-000036,FUR-BO-10001972,SUP-FUR-04,Cedar Contract Goods,2015-03-03,2015-03-20,16,$60.70,$971.20,Closed - Split Delivery
PO-001205,OFF-AP-10003971,SUP-OFF-01,Pinnacle Paper & Office,2015-03-03,2015-03-10,10,$8.85,$88.50,Closed
PO-004225,TEC-MA-10002412,SUP-TEC-04,CoreLink Systems,2015-03-03,2015-03-12,10,"$14,562.53","$145,625.30",Closed
PO-000509,FUR-FU-10001473,SUP-FUR-01,Northwood Furnishings,2015-03-04,2015-03-14,10,$8.34,$83.40,Closed
PO-001530,OFF-AR-10003732,SUP-OFF-03,Prime Workplace Essentials,2015-03-04,2015-03-10,11,$1.38,$15.18,Closed
PO-002827,OFF-PA-10000919,SUP-OFF-03,Prime Workplace Essentials,2015-03-04,2015-03-10,18,$9.81,$176.58,Closed
PO-002856,OFF-PA-10001215,SUP-OFF-02,Metro Stationery Co.,2015-03-04,2015-03-08,11,$2.15,$23.65,Closed
PO-003096,OFF-PA-10002960,SUP-OFF-01,Pinnacle Paper & Office,2015-03-04,2015-03-13,14,$2.20,$30.80,Closed
PO-003416,OFF-ST-10000918,SUP-OFF-01,Pinnacle Paper & Office,2015-03-04,2015-03-12,13,$3.91,$50.83,Closed
PO-003603,OFF-ST-10003221,SUP-OFF-02,Metro Stationery Co.,2015-03-04,2015-03-09,12,$1.91,$22.92,Closed
PO-004676,TEC-PH-10004667,SUP-TEC-02,BlueCircuit Supply,2015-03-04,2015-03-15,12,$173.76,"$2,085.12",Closed
PO-000180,FUR-CH-10001482,SUP-FUR-04,Cedar Contract Goods,2015-03-05,2015-03-15,10,$54.13,$541.30,Closed
PO-000795,FUR-FU-10004270,SUP-FUR-04,Cedar Contract Goods,2015-03-05,2015-03-16,10,$6.80,$68.00,Closed
PO-001525,OFF-AR-10003723,SUP-OFF-02,Metro Stationery Co.,2015-03-05,2015-03-09,13,$1.00,$13.00,Closed
PO-004482,TEC-PH-10002415,SUP-TEC-03,Apex Digital Wholesale,2015-03-05,2015-03-14,12,$201.18,"$2,414.16",Closed
PO-000269,FUR-CH-10002965,SUP-FUR-04,Cedar Contract Goods,2015-03-06,2015-03-24,21,$106.01,"$2,226.21",Closed
